_chgType,ID,CODE,NAME,PARENT_ID,SUBJECT_CLASS,DIRECTION,BALANCE_TYPE,CURRENCY_ID,IS_AUXILIARY_PARTNER,IS_AUXILIARY_DEPARTMENT,IS_AUXILIARY_PROJECT,IS_AUXILIARY_WAREHOUSE,IS_AUXILIARY_PRODUCT,IS_AUXILIARY_COST_CENTER,IS_BUDGETABLE,IS_LEAF,STATUS,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME,REMARK,CASH_FLOW_TYPE
A,2,@var:ErpMdSubject@code,库存现金,,ASSET,DEBIT,,,false,false,false,false,false,false,false,true,ACTIVE,@var:ErpMdSubject@delVersion_8,0,autotest-ref,*,autotest-ref,*,,
A,21,@var:ErpMdSubject@code_6,其他货币资金,,ASSET,DEBIT,,,false,false,false,false,false,false,false,true,ACTIVE,@var:ErpMdSubject@delVersion_8,0,autotest-ref,*,autotest-ref,*,,INVESTING
A,22,@var:ErpMdSubject@code_7,存出保证金,,ASSET,DEBIT,,,false,false,false,false,false,false,false,true,ACTIVE,@var:ErpMdSubject@delVersion_8,0,autotest-ref,*,autotest-ref,*,,FINANCING
A,23,@var:ErpMdSubject@code_8,固定资产,,ASSET,DEBIT,,,false,false,false,false,false,false,false,true,ACTIVE,@var:ErpMdSubject@delVersion_8,0,autotest-ref,*,autotest-ref,*,,
A,24,@var:ErpMdSubject@code_9,主营业务收入,,INCOME,CREDIT,,,false,false,false,false,false,false,false,true,ACTIVE,@var:ErpMdSubject@delVersion_8,0,autotest-ref,*,autotest-ref,*,,
A,3,@var:ErpMdSubject@code_1,应收账款,,ASSET,DEBIT,,,false,false,false,false,false,false,false,true,ACTIVE,@var:ErpMdSubject@delVersion_8,0,autotest-ref,*,autotest-ref,*,,
A,4,@var:ErpMdSubject@code_2,应付账款,,LIABILITY,CREDIT,,,false,false,false,false,false,false,false,true,ACTIVE,@var:ErpMdSubject@delVersion_8,0,autotest-ref,*,autotest-ref,*,,
A,5,@var:ErpMdSubject@code_3,实收资本,,EQUITY,CREDIT,,,false,false,false,false,false,false,false,true,ACTIVE,@var:ErpMdSubject@delVersion_8,0,autotest-ref,*,autotest-ref,*,,
A,6,@var:ErpMdSubject@code_4,主营业务收入,,INCOME,CREDIT,,,false,false,false,false,false,false,false,true,ACTIVE,@var:ErpMdSubject@delVersion_8,0,autotest-ref,*,autotest-ref,*,,
A,7,@var:ErpMdSubject@code_5,销售费用,,EXPENSE,DEBIT,,,false,false,false,false,false,false,false,true,ACTIVE,@var:ErpMdSubject@delVersion_8,0,autotest-ref,*,autotest-ref,*,,
